,,,
Georgia,Gwinnett County,,13135
Georgia,Lowndes County,,13185
Georgia,Muscogee County,,13215
Georgia,Richmond County,,13245
Hawaii,Hawaii County,,15001
Hawaii,Honolulu County,,15003
Hawaii,Kauai County,,15007
Hawaii,Maui County,,15009
Idaho,Ada County,,16001
Idaho,Canyon County,,16027
Illinois,Champaign County,,17019
Illinois,Cook County,,17031
Illinois,DuPage County,,17043
Illinois,Kane County,,17089
Illinois,Lake County,,17097
Illinois,Madison County,,17119
Illinois,McHenry County,,17111
Illinois,McLean County,,17113
Illinois,Peoria County,,17143
Illinois,Rock Island County,,17161
Illinois,St. Clair County,,17163
Illinois,Will County,,17197
Indiana,Allen County,,18003
Indiana,Lake County,,18089
Indiana,Marion County,,18097
Iowa,Linn County,,19113
Iowa,Polk County,,19153
Kansas,Sedgwick County,,20173
Kansas,Shawnee County,,20177
Kansas,Wyandotte County,,20209
Kentucky,Fayette County,,21067
Kentucky,Jefferson County,,21111
Louisiana,Caddo Parish,,22017
Louisiana,Calcasieu Parish,,22019
Louisiana,East Baton Rouge Parish,,22033
Louisiana,Jefferson Parish,,22051
Louisiana,Lafayette Parish,,22055
Louisiana,St. Tammany Parish,,22103
Maine,Cumberland County,,23005
Maine,Penobscot County,,23019
Maryland,Anne Arundel County,,24003
Maryland,Baltimore,,24510
Maryland,Baltimore County,,24005
Maryland,Frederick County,,24021
Maryland,Howard County,,24027
Maryland,Montgomery County,,24031
Maryland,Prince George's County,,24033
Massachusetts,Barnstable County,,25001
Massachusetts,Bristol County,,25005
Massachusetts,Essex County,,25009
Massachusetts,Hampden County,,25013
Massachusetts,Middlesex County,,25017
Massachusetts,Norfolk County,,25021
Massachusetts,Plymouth County,,25023
Massachusetts,Suffolk County,,25025
Massachusetts,Worcester County,,25027
Michigan,Calhoun County,,26025
Michigan,Genesee County,,26049
Michigan,Ingham County,,26065
Michigan,Kalamazoo County,,26077
Michigan,Kent County,,26081
Michigan,Macomb County,,26099
Michigan,Monroe County,,26115
Michigan,Oakland County,,26125
Michigan,Ottawa County,,26139
Michigan,St. Clair County,,26147
Michigan,Washtenaw County,,26161
Michigan,Wayne County,,26163
Minnesota,Anoka County,,27003
Minnesota,Dakota County,,27037
Minnesota,Hennepin County,,27053
Minnesota,Ramsey County,,27123
Minnesota,St. Louis County,,27137
Minnesota,Stearns County,,27145
Mississippi,Harrison County,,28047
Mississippi,Jackson County,,28059
Mississippi,Lauderdale County,,28075
Missouri,Boone County,,29019
Missouri,Clay County,,29047
Missouri,Greene County,,29077
Missouri,Jackson County,,29095
Missouri,Jasper County,,29097
Missouri,St. Charles County,,29183
Missouri,St. Louis,,29510
Missouri,St. Louis County,,29189
Montana,Flathead County,,30029
Montana,Missoula County,,30063
Montana,Yellowstone County,,30111
Nebraska,Douglas County,,31055
Nebraska,Lancaster County,,31109
Nevada,Clark County,,32003
Nevada,Washoe County,,32031
New Hampshire,Grafton County,,33009
New Hampshire,Merrimack County,,33013
New Hampshire,Rockingham County,,33015
New Jersey,Bergen County,,34003
New Jersey,Burlington County,,34005
New Jersey,Camden County,,34007
New Jersey,Essex County,,34013
New Jersey,Gloucester County,,34015
New Jersey,Hudson County,,34017
New Jersey,Mercer County,,34021
New Jersey,Middlesex County,,34023
New Jersey,Monmouth County,,34025
New Jersey,Morris County,,34027